weekday,Precinct,Number of Violation,Info
5,68,900,Precinct: 68
5,69,267,Precinct: 69
5,70,903,Precinct: 70
5,71,353,Precinct: 71
5,72,645,Precinct: 72
5,73,257,Precinct: 73
5,75,422,Precinct: 75
5,76,255,Precinct: 76
5,77,763,Precinct: 77
5,78,784,Precinct: 78
5,79,436,Precinct: 79
5,81,66,Precinct: 81
5,82,1,Precinct: 82
5,83,392,Precinct: 83
5,84,1371,Precinct: 84
5,86,1,Precinct: 86
5,88,545,Precinct: 88
5,90,536,Precinct: 90
5,94,543,Precinct: 94
5,95,1,Precinct: 95
5,96,1,Precinct: 96
5,100,162,Precinct: 100
5,101,116,Precinct: 101
5,102,945,Precinct: 102
5,103,1258,Precinct: 103
5,104,586,Precinct: 104
5,105,646,Precinct: 105
5,106,691,Precinct: 106
5,107,603,Precinct: 107
5,108,979,Precinct: 108
5,109,1369,Precinct: 109
5,110,789,Precinct: 110
5,111,307,Precinct: 111
5,112,1053,Precinct: 112
5,113,239,Precinct: 113
5,114,2120,Precinct: 114
5,115,1411,Precinct: 115
5,120,248,Precinct: 120
5,121,198,Precinct: 121
5,122,203,Precinct: 122
5,123,90,Precinct: 123
5,126,1,Precinct: 126
5,149,1,Precinct: 149
5,222,1,Precinct: 222
5,415,1,Precinct: 415
5,419,1,Precinct: 419
5,428,1,Precinct: 428
5,442,1,Precinct: 442
5,470,1,Precinct: 470
5,477,1,Precinct: 477
5,506,1,Precinct: 506
5,709,1,Precinct: 709
5,807,1,Precinct: 807
6,0,5623,Precinct: 0
6,1,566,Precinct: 1
6,2,4,Precinct: 2
6,3,1,Precinct: 3
6,4,1,Precinct: 4
6,5,471,Precinct: 5
6,6,157,Precinct: 6
6,7,341,Precinct: 7
6,8,2,Precinct: 8
6,9,172,Precinct: 9
6,10,382,Precinct: 10
6,11,1,Precinct: 11
6,12,1,Precinct: 12
6,13,502,Precinct: 13
6,14,549,Precinct: 14
6,16,1,Precinct: 16
6,17,527,Precinct: 17
6,18,844,Precinct: 18
6,19,1065,Precinct: 19
6,20,615,Precinct: 20
6,21,1,Precinct: 21
6,22,6,Precinct: 22
6,23,255,Precinct: 23
6,24,248,Precinct: 24
6,25,158,Precinct: 25
6,26,100,Precinct: 26
6,27,1,Precinct: 27
6,28,264,Precinct: 28
6,30,204,Precinct: 30
6,32,173,Precinct: 32
6,33,201,Precinct: 33
6,34,320,Precinct: 34
6,35,1,Precinct: 35
6,36,1,Precinct: 36
6,40,152,Precinct: 40
6,41,63,Precinct: 41
6,42,138,Precinct: 42
6,43,301,Precinct: 43
6,44,297,Precinct: 44
6,45,176,Precinct: 45
6,46,308,Precinct: 46
6,47,290,Precinct: 47
6,48,169,Precinct: 48
6,49,189,Precinct: 49
6,50,235,Precinct: 50
6,52,377,Precinct: 52
6,54,1,Precinct: 54
